t,y1,y2
0.0004,-0.7785,0.0
0.1004,0.4422,-0.0042
0.2004,-1.2092,-0.0065
0.3004,0.0115,0.0054
0.4004,0.0115,0.0025
0.5004,-0.7785,-0.0126
0.6004,-1.2092,-0.0383
0.7004,1.2322,-0.0701
0.8004,-0.7785,-0.0612
0.9004,-0.7785,-0.0564
1.0004,-1.2092,-0.0491
1.1004,0.4422,-0.042
1.2004,0.0115,-0.0333
1.3004,0.0115,-0.0706
1.4004,-1.2092,-0.0526
1.5004,0.4422,-0.0221
1.6004,-0.7785,0.0279
1.7004,1.2322,0.0446
1.8004,-1.2092,0.0494
1.9004,-0.7785,0.0667
2.0004,0.0115,0.0576
2.1004,-0.7785,0.0317
2.2004,-1.2092,0.0053
2.3004,0.0115,0.0237
2.4004,-0.7785,0.0079
2.5004,0.4422,-0.0001
2.6004,-1.2092,-0.0376
2.7004,0.0115,-0.0204
2.8004,0.0115,-0.0344
2.9004,-1.2092,-0.0665
3.0004,-0.7785,-0.0673
3.1004,-0.7785,-0.0442
3.2004,1.6629,-0.017
3.3004,-1.2092,-0.0002
3.4004,-0.7785,-0.0044
3.5004,1.2322,-0.0186
3.6004,0.0115,-0.0317
3.7004,0.0115,-0.0643
3.8004,-0.7785,-0.0502
3.9004,-0.7785,-0.043
4.0004,-1.2092,-0.0284
4.1004,-0.7785,-0.0322
4.2004,-1.2092,-0.0478
4.3004,-1.2092,-0.0616
4.4004,0.0115,-0.0732
4.5004,-0.7785,-0.0604
4.6004,-0.7785,-0.0423
4.7004,-0.7785,-0.0144
4.8004,-0.7785,-0.0076
4.9004,-1.2092,-0.0021
5.0004,-1.2092,-0.0124
5.1004,-1.2092,-0.0354
5.2004,1.2322,-0.0455
5.3004,-0.7785,-0.0607
5.4004,0.0115,-0.0394
5.5004,0.0115,-0.023
5.6004,1.2322,-0.0212
5.7004,-1.2092,-0.0307
5.8004,-1.2092,-0.0536
5.9004,-1.2092,-0.0595
6.0004,-0.7785,-0.0602
6.1004,-0.7785,-0.037
6.2004,-0.7785,-0.0102
6.3004,-1.2092,0.0258
6.4004,0.0115,0.0296
6.5004,0.0115,-0.0055
6.6004,-1.2092,-0.0303
6.7004,-1.2092,-0.0465
6.8004,-0.7785,-0.0263
6.9004,-0.7785,0.0042
7.0004,-0.7785,0.0244
7.1004,0.4422,0.0447
7.2004,0.0115,0.0261
7.3004,-0.7785,-0.0085
7.4004,-1.2092,-0.0334
7.5004,0.4422,-0.0389
7.6004,-0.7785,-0.0113
7.7004,0.4422,0.0098
7.8004,-1.2092,0.011
7.9004,-1.2092,-0.0187
8.0004,0.0115,-0.0437
8.1004,-0.7785,-0.0856
8.2004,-0.7785,-0.098
8.3004,-1.2092,-0.0794
8.4004,0.0115,-0.0571
8.5004,0.4422,-0.0331
8.6004,0.0115,-0.0123
8.7004,-1.2092,0.0083
8.8004,-0.7785,0.01
8.9004,-0.7785,0.0255
9.0004,0.4422,0.0433
9.1004,1.6629,0.0667
9.2004,-1.2092,0.095
9.3004,0.4422,0.1326
9.4004,-1.2092,0.1594
9.5004,1.6629,0.2961
9.6004,-0.7785,0.6562
9.7004,0.0115,1.3344
9.8004,0.0115,2.2736
9.9004,-0.7785,3.5522
10.0004,4.8943,5.1557
10.1004,6.115,7.0493
10.2004,12.2186,9.2033
10.3004,10.9979,11.6238
10.4004,18.3221,14.2733
